[0816/181015.562:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[1022/150834.573:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/150834.629:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/172356.551:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1022/211618.414:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211618.820:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211623.860:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211648.727:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211653.746:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211658.753:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211703.767:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211708.781:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211709.084:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211709.130:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211709.193:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211709.626:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211713.791:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211714.103:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211714.150:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211714.216:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211714.641:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211718.798:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211719.122:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211719.175:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211719.226:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211719.660:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211723.804:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211724.132:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211724.179:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211724.247:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211724.669:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211728.819:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211729.144:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211729.196:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211729.311:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211729.682:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211733.835:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211734.159:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211734.210:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211734.320:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211734.705:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211738.841:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211739.169:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211739.215:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211739.330:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211739.731:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211743.852:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211744.180:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211744.227:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211744.335:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211744.744:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211748.872:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211749.201:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211749.235:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211753.299:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211753.333:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211753.889:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211754.216:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211754.259:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211756.824:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211758.330:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211758.350:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211758.920:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211759.230:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211759.302:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211828.285:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211828.435:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211848.320:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/211848.425:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214159.349:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214159.368:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214159.819:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214159.845:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214159.891:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214159.952:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214222.148:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214222.183:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214227.169:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214227.194:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214354.671:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214359.684:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214435.203:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214440.217:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214447.944:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/214452.956:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1023/013427.420:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1023/013427.436:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1023/060021.627:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1023/060026.746:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
